id_campaign,customer_id,campaign_status,campaign_channel,activity_subject,start_date,end_date,last_modified_date
CAMPAIGN_00145,CUST_02120,Done,sms,VIP Re-engagement,2023-12-02,2023-12-04,2023-12-04
CAMPAIGN_00146,CUST_03399,Done,email,Holiday Sale,2023-06-03,2023-06-07,2023-06-12
CAMPAIGN_00147,CUST_02994,Done,email,New Arrivals,2023-01-01,2023-01-08,2023-01-10
CAMPAIGN_00148,CUST_00952,Failed,call,Anniversary Campaign,2024-06-18,2024-06-24,2024-06-29
CAMPAIGN_00149,CUST_00128,Done,call,Anniversary Campaign,2024-11-06,2024-11-13,2024-11-15
CAMPAIGN_00150,CUST_01363,Done,letter,Anniversary Campaign,2023-12-20,2023-12-28,2023-12-30
CAMPAIGN_00151,CUST_01531,Failed,call,Exclusive Preview,2023-09-10,2023-09-15,2023-09-18
CAMPAIGN_00152,CUST_02579,Done,sms,Spring Collection Launch,2024-02-29,2024-03-10,2024-03-10
CAMPAIGN_00153,CUST_00760,Failed,letter,Spring Collection Launch,2023-10-12,2023-10-17,2023-10-21
CAMPAIGN_00154,CUST_01024,Failed,letter,New Arrivals,2023-01-12,2023-01-17,2023-01-22
CAMPAIGN_00155,CUST_02364,Done,call,Holiday Sale,2023-06-11,2023-06-15,2023-06-20
CAMPAIGN_00156,CUST_03144,Done,letter,Personalized Offer,2024-07-01,2024-07-09,2024-07-12
CAMPAIGN_00157,CUST_02080,Failed,email,Loyalty Program Update,2024-06-17,2024-06-26,2024-06-27
CAMPAIGN_00158,CUST_01717,Done,letter,VIP Re-engagement,2023-10-06,2023-10-12,2023-10-13
CAMPAIGN_00159,CUST_01119,Failed,sms,Loyalty Program Update,2024-08-07,2024-08-15,2024-08-19
CAMPAIGN_00160,CUST_00791,Done,email,New Arrivals,2023-06-26,2023-07-04,2023-07-04
CAMPAIGN_00161,CUST_00338,Failed,letter,Personalized Offer,2024-03-04,2024-03-06,2024-03-09
CAMPAIGN_00162,CUST_01635,Done,email,Loyalty Program Update,2023-02-21,2023-03-03,2023-03-07
CAMPAIGN_00163,CUST_00312,Done,letter,Exclusive Preview,2023-06-14,2023-06-24,2023-06-26
CAMPAIGN_00164,CUST_00915,Failed,sms,VIP Re-engagement,2024-05-24,2024-05-27,2024-05-29
CAMPAIGN_00165,CUST_02668,Failed,email,Loyalty Program Update,2024-04-01,2024-04-06,2024-04-09
CAMPAIGN_00166,CUST_03261,Done,sms,New Arrivals,2023-04-25,2023-04-27,2023-04-30
CAMPAIGN_00167,CUST_00938,Done,call,Anniversary Campaign,2023-04-11,2023-04-19,2023-04-22
CAMPAIGN_00168,CUST_01270,Done,letter,Holiday Sale,2023-09-11,2023-09-20,2023-09-25
CAMPAIGN_00169,CUST_00777,Failed,call,Personalized Offer,2023-06-07,2023-06-09,2023-06-12
CAMPAIGN_00170,CUST_01526,Done,sms,New Arrivals,2023-03-12,2023-03-14,2023-03-18
CAMPAIGN_00171,CUST_01233,Done,letter,Loyalty Program Update,2024-12-20,2024-12-29,2024-12-29
CAMPAIGN_00172,CUST_01987,Done,sms,VIP Re-engagement,2023-11-03,2023-11-05,2023-11-10
CAMPAIGN_00173,CUST_00294,Failed,sms,Spring Collection Launch,2024-07-12,2024-07-21,2024-07-21
CAMPAIGN_00174,CUST_00165,Failed,sms,Holiday Sale,2024-05-10,2024-05-11,2024-05-16
CAMPAIGN_00175,CUST_01881,Failed,call,Holiday Sale,2023-10-08,2023-10-11,2023-10-16
CAMPAIGN_00176,CUST_02066,Done,email,Holiday Sale,2023-09-18,2023-09-25,2023-09-29
CAMPAIGN_00177,CUST_02455,Done,sms,Spring Collection Launch,2024-05-03,2024-05-07,2024-05-09
CAMPAIGN_00178,CUST_02343,Done,letter,Holiday Sale,2024-09-07,2024-09-09,2024-09-09
CAMPAIGN_00179,CUST_00785,Failed,email,Exclusive Preview,2024-09-13,2024-09-20,2024-09-21
CAMPAIGN_00180,CUST_00641,Failed,sms,Personalized Offer,2024-04-25,2024-04-26,2024-04-27
CAMPAIGN_00181,CUST_00829,Done,call,Loyalty Program Update,2024-07-08,2024-07-10,2024-07-12
CAMPAIGN_00182,CUST_01186,Done,letter,Spring Collection Launch,2023-06-30,2023-07-08,2023-07-12
CAMPAIGN_00183,CUST_00641,Failed,sms,Exclusive Preview,2024-06-19,2024-06-20,2024-06-23
CAMPAIGN_00184,CUST_03171,Failed,letter,Personalized Offer,2023-02-08,2023-02-16,2023-02-21
CAMPAIGN_00185,CUST_00946,Done,sms,New Arrivals,2024-05-01,2024-05-02,2024-05-06
CAMPAIGN_00186,CUST_00895,Done,call,New Arrivals,2023-10-21,2023-10-29,2023-11-02
CAMPAIGN_00187,CUST_01600,Done,sms,Personalized Offer,2024-07-08,2024-07-11,2024-07-13
CAMPAIGN_00188,CUST_00035,Done,email,Spring Collection Launch,2023-06-29,2023-07-06,2023-07-10
CAMPAIGN_00189,CUST_03145,Failed,letter,Personalized Offer,2024-09-16,2024-09-25,2024-09-30
CAMPAIGN_00190,CUST_00279,Failed,email,Personalized Offer,2024-12-10,2024-12-20,2024-12-23
CAMPAIGN_00191,CUST_01749,Done,sms,Spring Collection Launch,2023-07-07,2023-07-08,2023-07-13
CAMPAIGN_00192,CUST_02006,Done,email,New Arrivals,2023-08-12,2023-08-15,2023-08-18
CAMPAIGN_00193,CUST_02313,Done,email,VIP Re-engagement,2024-02-04,2024-02-08,2024-02-08
CAMPAIGN_00194,CUST_00985,Done,email,VIP Re-engagement,2024-03-19,2024-03-25,2024-03-30
CAMPAIGN_00195,CUST_00184,Done,sms,Personalized Offer,2024-01-03,2024-01-12,2024-01-12
CAMPAIGN_00196,CUST_02352,Failed,email,Spring Collection Launch,2023-08-07,2023-08-10,2023-08-11
CAMPAIGN_00197,CUST_01259,Done,letter,Holiday Sale,2023-08-12,2023-08-19,2023-08-19
CAMPAIGN_00198,CUST_02806,Done,call,Personalized Offer,2024-05-13,2024-05-16,2024-05-19
CAMPAIGN_00199,CUST_02596,Done,letter,Personalized Offer,2024-03-19,2024-03-21,2024-03-22
CAMPAIGN_00200,CUST_02449,Failed,call,Spring Collection Launch,2024-06-26,2024-07-04,2024-07-05
CAMPAIGN_00201,CUST_02985,Done,email,New Arrivals,2024-01-23,2024-01-26,2024-01-29
CAMPAIGN_00202,CUST_00156,Done,call,Exclusive Preview,2024-08-08,2024-08-17,2024-08-20
CAMPAIGN_00203,CUST_01244,Done,letter,VIP Re-engagement,2024-08-20,2024-08-30,2024-08-31
CAMPAIGN_00204,CUST_03377,Done,call,Spring Collection Launch,2024-08-16,2024-08-17,2024-08-21
CAMPAIGN_00205,CUST_03361,Done,sms,Personalized Offer,2023-01-05,2023-01-07,2023-01-07
CAMPAIGN_00206,CUST_02970,Done,call,Spring Collection Launch,2024-05-02,2024-05-04,2024-05-08
CAMPAIGN_00207,CUST_01361,Failed,letter,Personalized Offer,2023-07-19,2023-07-22,2023-07-25
CAMPAIGN_00208,CUST_02621,Failed,sms,Exclusive Preview,2023-01-18,2023-01-23,2023-01-24
CAMPAIGN_00209,CUST_01510,Done,call,Anniversary Campaign,2024-06-02,2024-06-11,2024-06-13
CAMPAIGN_00210,CUST_02903,Done,letter,Anniversary Campaign,2024-07-03,2024-07-09,2024-07-14
CAMPAIGN_00211,CUST_00529,Done,letter,Personalized Offer,2024-10-02,2024-10-06,2024-10-11
CAMPAIGN_00212,CUST_01387,Done,sms,Exclusive Preview,2024-07-06,2024-07-11,2024-07-12
CAMPAIGN_00213,CUST_03398,Done,call,New Arrivals,2023-05-19,2023-05-24,2023-05-29
CAMPAIGN_00214,CUST_02641,Failed,call,Exclusive Preview,2023-06-11,2023-06-16,2023-06-17
CAMPAIGN_00215,CUST_03181,Failed,email,Holiday Sale,2024-03-27,2024-03-30,2024-04-03
CAMPAIGN_00216,CUST_01554,Done,call,Spring Collection Launch,2024-08-17,2024-08-27,2024-08-28
CAMPAIGN_00217,CUST_03463,Done,letter,Spring Collection Launch,2024-12-22,2024-12-31,2025-01-01
CAMPAIGN_00218,CUST_02947,Failed,email,Personalized Offer,2023-10-10,2023-10-18,2023-10-18
CAMPAIGN_00219,CUST_00062,Done,sms,Anniversary Campaign,2024-02-05,2024-02-09,2024-02-11
CAMPAIGN_00220,CUST_00076,Failed,letter,VIP Re-engagement,2023-04-09,2023-04-13,2023-04-14
CAMPAIGN_00221,CUST_01317,Done,sms,Spring Collection Launch,2024-03-07,2024-03-17,2024-03-22
CAMPAIGN_00222,CUST_02955,Done,email,Spring Collection Launch,2023-08-15,2023-08-25,2023-08-30
CAMPAIGN_00223,CUST_00307,Done,letter,VIP Re-engagement,2023-02-03,2023-02-13,2023-02-16
CAMPAIGN_00224,CUST_00454,Done,letter,Holiday Sale,2024-09-10,2024-09-11,2024-09-12
CAMPAIGN_00225,CUST_02700,Done,email,Anniversary Campaign,2023-08-07,2023-08-09,2023-08-10
CAMPAIGN_00226,CUST_00799,Failed,letter,VIP Re-engagement,2023-07-26,2023-07-29,2023-08-02
CAMPAIGN_00227,CUST_02408,Failed,letter,Spring Collection Launch,2024-12-28,2024-12-30,2025-01-02
CAMPAIGN_00228,CUST_02514,Done,letter,New Arrivals,2023-11-27,2023-11-30,2023-11-30
CAMPAIGN_00229,CUST_01301,Done,call,Loyalty Program Update,2023-03-07,2023-03-17,2023-03-18
CAMPAIGN_00230,CUST_02409,Failed,letter,Exclusive Preview,2023-04-22,2023-04-24,2023-04-24
CAMPAIGN_00231,CUST_01993,Done,call,Holiday Sale,2024-06-28,2024-07-07,2024-07-11
CAMPAIGN_00232,CUST_00119,Done,email,Anniversary Campaign,2024-11-03,2024-11-06,2024-11-09
CAMPAIGN_00233,CUST_01333,Done,sms,New Arrivals,2023-06-24,2023-06-28,2023-06-28
CAMPAIGN_00234,CUST_00318,Done,email,VIP Re-engagement,2023-09-22,2023-09-27,2023-09-30
CAMPAIGN_00235,CUST_03440,Done,sms,Anniversary Campaign,2024-11-02,2024-11-07,2024-11-07
CAMPAIGN_00236,CUST_00165,Failed,letter,Personalized Offer,2024-06-06,2024-06-09,2024-06-09
CAMPAIGN_00237,CUST_02243,Failed,sms,Personalized Offer,2024-12-25,2024-12-28,2024-12-30
CAMPAIGN_00238,CUST_02830,Done,sms,Exclusive Preview,2024-12-02,2024-12-04,2024-12-09
CAMPAIGN_00239,CUST_00044,Done,letter,Personalized Offer,2023-01-18,2023-01-21,2023-01-22
CAMPAIGN_00240,CUST_00219,Failed,sms,Holiday Sale,2024-04-25,2024-04-26,2024-04-26
CAMPAIGN_00241,CUST_03140,Done,letter,Spring Collection Launch,2024-11-27,2024-12-02,2024-12-07
CAMPAIGN_00242,CUST_00780,Failed,letter,Holiday Sale,2023-12-22,2023-12-25,2023-12-28
CAMPAIGN_00243,CUST_01206,Done,letter,Holiday Sale,2023-07-05,2023-07-10,2023-07-12
CAMPAIGN_00244,CUST_01460,Done,sms,New Arrivals,2024-02-12,2024-02-19,2024-02-22
CAMPAIGN_00245,CUST_03123,Failed,letter,Spring Collection Launch,2024-10-25,2024-10-30,2024-11-04
CAMPAIGN_00246,CUST_00357,Done,email,Exclusive Preview,2023-09-20,2023-09-30,2023-10-02
CAMPAIGN_00247,CUST_02384,Failed,letter,New Arrivals,2023-10-17,2023-10-25,2023-10-25
CAMPAIGN_00248,CUST_02219,Failed,email,Exclusive Preview,2024-05-29,2024-06-06,2024-06-07
CAMPAIGN_00249,CUST_02769,Failed,email,Spring Collection Launch,2023-11-02,2023-11-06,2023-11-08
CAMPAIGN_00250,CUST_01496,Done,call,Personalized Offer,2024-10-26,2024-11-04,2024-11-09
CAMPAIGN_00251,CUST_01420,Failed,sms,Spring Collection Launch,2023-12-28,2024-01-01,2024-01-03
CAMPAIGN_00252,CUST_00545,Failed,sms,Exclusive Preview,2023-02-11,2023-02-20,2023-02-24
CAMPAIGN_00253,CUST_01190,Done,letter,Spring Collection Launch,2024-02-05,2024-02-09,2024-02-10
